number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_grow_policy,params_learning_rate,params_max_delta_step,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
86,1.755197242540293,2026-02-12 23:47:11.563848,2026-02-12 23:47:35.501285,0 days 00:00:23.937437,0.6850473615329301,573,7.146066807911928,depthwise,0.0054525610290711134,4,9,,28.457783322365483,0.0006364712423695154,23.30616669433177,0.8621237391392154,COMPLETE
87,1.7553530276380136,2026-02-12 23:47:16.621230,2026-02-12 23:47:38.176543,0 days 00:00:21.555313,0.6850196145585741,592,8.865115885202211,depthwise,0.009547603449444698,4,9,,7.587785155878097,6.827484376633653e-06,24.956580672413683,0.8633533411022614,COMPLETE
88,1.7568493139449297,2026-02-12 23:47:18.644824,2026-02-12 23:47:39.925824,0 days 00:00:21.281000,0.7551047341383792,590,7.14035658028969,depthwise,0.009716165487382631,4,9,,1.9500711701952675,0.0019209492493686368,44.76267274164234,0.8613418938070919,COMPLETE
89,1.7631586506577892,2026-02-12 23:47:19.958686,2026-02-12 23:47:37.480127,0 days 00:00:17.521441,0.5494060269583386,796,8.914213303626239,depthwise,0.05398868175147327,4,9,,3.4528752933866222,0.0014346372754584086,65.57656261519517,0.9764799759272682,PRUNED
90,1.758977681697469,2026-02-12 23:47:20.185468,2026-02-12 23:47:41.609777,0 days 00:00:21.424309,0.6414688413630864,540,8.87161386274738,depthwise,0.005451264528356764,3,7,,1.9694352360784526,0.0009019713779508231,14.877878777723472,0.9748417431145374,COMPLETE
91,1.7592015866891166,2026-02-12 23:47:29.345647,2026-02-12 23:47:48.926149,0 days 00:00:19.580502,0.6748966339778795,200,9.065410210330693,depthwise,0.009810113029847791,3,7,,4.558931015938269,0.0006179360424073843,43.565304552961784,0.9802738951167127,COMPLETE
92,1.757084004370094,2026-02-12 23:47:29.890058,2026-02-12 23:47:48.825206,0 days 00:00:18.935148,0.6557664676556857,546,9.028619364483808,depthwise,0.011676133368628307,3,8,,2.0272491786594893,0.0014590046988307089,46.34629325351401,0.9836911335441625,COMPLETE
93,1.7555728370652182,2026-02-12 23:47:31.748585,2026-02-12 23:47:51.284187,0 days 00:00:19.535602,0.6687656302686359,800,7.002166624319814,depthwise,0.011752523820440059,3,7,,4.718071624415724,0.000603017067774398,42.415063204295556,0.950149407436526,COMPLETE
94,1.7559527840948284,2026-02-12 23:47:35.561791,2026-02-12 23:47:56.942188,0 days 00:00:21.380397,0.6762226462927309,201,7.095388133089165,depthwise,0.005498848967054364,3,7,,27.005514502716736,0.0162497846075949,14.885872762992648,0.9276689812038934,COMPLETE
95,1.7555103465915034,2026-02-12 23:47:37.546923,2026-02-12 23:47:57.585193,0 days 00:00:20.038270,0.6676195043680521,494,6.722319438239378,depthwise,0.012152866498645738,3,7,,2.0098345796296573,0.11509304570199672,14.156191299016141,0.8977397722764567,COMPLETE
